id,title,text
KB001,Water Leakage Policy,"For water leakage issues, maintenance visits are scheduled within 24 hours on working days. Tenants can escalate if not resolved within 48 hours."
KB002,Rent Payment and Refunds,"If a tenant is charged twice, a refund will be initiated within 5-7 business days after verification by the accounts team."
KB003,Noise Complaints,"Noise complaints between 10 PM and 6 AM are treated as high priority. Security staff will visit the location and issue a warning if needed."
KB004,Maintenance SLA,"General maintenance tickets are responded to within 24 hours, with a resolution target of 72 hours for most issues."
KB005,Internet Issues,"Internet issues are handled by the ISP partner. Tenants should raise a ticket in the app, and the ISP will contact them within 12 hours."
KB006,Housekeeping and Cleaning,"Common areas are cleaned daily in the morning. Tenants can raise tickets for special cleaning requests."
KB007,Security and Safety,"Security staff is on duty 24/7 and conducts routine checks. Tenants can contact the helpdesk or gate security in case of emergencies."
KB008,Parking Policy,"Each flat is allocated one parking space. Unauthorized parking in another tenant's slot may result in penalties."
KB009,Ticket Escalation,"If a ticket is not attended within the defined SLA, tenants can escalate through the app or helpline for priority handling."
KB010,Appreciation Handling,"Positive feedback about staff or facilities is documented and shared with the respective teams during monthly reviews."
